leg_index,from_stop_id,to_stop_id,arrived_stop_id,completed,departure_time_seconds,arrival_time_seconds,travel_time_seconds,leg_distance_meters,cumulative_distance_meters,planned_path_distance_meters,path_waypoint_count,boarded_passenger_ids,dropped_off_passenger_ids,arrival_x,arrival_y,arrival_z,blocked,block_reason
1,1,2,2,1,0,78.702,78.702,301.9,301.9,304.212,44,,,-157.513,0.504,-136.472,0,
2,2,1,1,1,83.705,206.881,123.176,690.137,992.037,690.643,95,,,90.808,0.504,-203.438,0,
3,1,3,3,1,211.888,325.724,113.836,564.796,1556.832,565.447,80,,,-23.63,0.503,-9.811,0,
4,3,1,1,1,330.73,415.383,84.653,430.381,1987.213,430.687,59,5,,90.796,0.504,-203.438,0,
5,1,4,4,1,420.387,570.667,150.281,730.574,2717.787,731.164,101,1,,-114.121,0.504,250.231,0,
6,4,1,1,1,575.667,742.187,166.52,819.575,3537.362,820.299,107,,1,90.783,0.504,-203.438,0,
7,1,5,5,1,747.188,1023.486,276.298,1348.148,4885.51,1348.943,207,8,5,-5.847,0.504,475.767,0,
8,5,1,1,1,1028.492,1229.501,201.009,1001.321,5886.831,1002.954,134,12,,90.797,0.504,-203.438,0,
9,1,6,6,1,1234.502,1472.382,237.88,1195.58,7082.411,1196.444,147,13|21,,157.543,0.504,514.348,0,
10,6,1,1,1,1477.382,1624.723,147.341,773.041,7855.452,773.225,109,20,,90.784,0.504,-203.438,0,
11,1,7,7,1,1629.732,1786.714,156.982,761.157,8616.608,761.05,97,6|15,21,157.473,0.504,147.713,0,
12,7,1,1,1,1791.718,1864.985,73.267,406.851,9023.459,406.093,57,,,90.784,0.504,-203.438,0,
13,1,8,8,1,1869.987,1945.765,75.778,427.957,9451.416,427.745,55,,,5.896,0.504,142.962,0,
14,8,1,1,1,1950.77,2103.484,152.715,740.898,10192.31,739.398,99,,,90.787,0.504,-203.438,0,
15,1,9,9,1,2108.489,2409.929,301.44,1569.374,11761.69,1568.675,223,2,8,-169.304,0.504,389.872,0,
16,9,1,1,1,2414.938,2603.604,188.666,960.022,12721.71,959.864,133,,,90.791,0.504,-203.438,0,
17,1,10,10,1,2608.608,2809.636,201.028,1037.633,13759.34,1038.635,128,,,-167.929,0.504,44.101,0,
18,10,1,1,1,2814.639,2999.611,184.973,969.741,14729.08,969.013,130,,,90.816,0.504,-203.438,0,
19,1,11,11,1,3004.612,3110.949,106.337,584.922,15314,584.18,71,4,12,45.361,0.504,276.284,0,
20,11,1,1,1,3115.957,3296.182,180.225,899.53,16213.54,900.173,114,,,90.785,0.504,-203.438,0,
21,1,12,12,1,3301.185,3455.942,154.756,720.379,16933.91,721.513,92,11,6,167.44,0.504,323.278,0,
22,12,2,2,1,3460.94,3659.495,198.555,1088.119,18022.03,1093.113,149,3,13,-157.513,0.504,-136.459,0,
23,2,3,3,1,3664.498,3720.371,55.873,260.225,18282.26,261.147,36,7|16,2|15,-23.63,0.503,-9.811,0,
24,3,2,2,1,3725.373,3860.644,135.271,733.01,19015.27,734.899,103,,,-157.513,0.504,-136.476,0,
25,2,4,4,1,3865.647,3964.896,99.249,425.951,19441.22,426.864,57,14,4,-114.132,0.504,250.231,0,
26,4,2,2,1,3969.901,4110.413,140.512,737.977,20179.2,739.435,97,,,-157.513,0.504,-136.459,0,
27,2,5,5,1,4115.418,4338.924,223.506,1042.43,21221.63,1044.643,163,19,16,-5.841,0.504,475.773,0,
28,5,2,2,1,4343.928,4505.143,161.214,919.291,22140.92,922.091,124,,,-157.513,0.504,-136.465,0,
29,2,6,6,1,4510.138,4776.315,266.177,1145.439,23286.36,1148.931,161,29,20,157.543,0.504,514.344,0,
30,6,2,2,1,4781.319,4978.72,197.4,1075.125,24361.48,1077.437,153,,,-157.513,0.504,-136.466,0,
31,2,7,7,1,4983.72,5170.61,186.89,839.109,25200.59,841.07,107,23,11,157.473,0.504,147.727,0,
32,7,2,2,1,5175.62,5299.073,123.454,708.598,25909.19,710.354,101,,,-157.513,0.504,-136.495,0,
33,2,8,8,1,5304.081,5511.774,207.693,1056.467,26965.65,1057.853,136,25,7,5.896,0.504,142.951,0,
34,8,2,2,1,5516.775,5696.71,179.935,972.799,27938.45,975.744,120,,,-157.513,0.504,-136.459,0,
35,2,9,9,1,5701.708,6009.928,308.22,1612.094,29550.55,1617.771,236,,,-169.304,0.504,389.897,0,
36,9,2,2,1,6014.925,6207.987,193.062,908.588,30459.13,910.39,128,,,-157.513,0.504,-136.458,0,
37,2,10,10,1,6212.997,6448.268,235.271,1113.322,31572.46,1118.655,138,9|22,3|14,-167.929,0.504,44.1,0,
38,10,2,2,1,6453.267,6692.386,239.119,1269.727,32842.18,1273.225,174,,,-157.513,0.504,-136.485,0,
39,2,11,11,1,6697.393,6861.694,164.301,664.902,33507.09,664.199,81,28,19,45.362,0.504,276.282,0,
40,11,2,2,1,6866.694,7005.938,139.244,822.074,34329.16,819.309,104,,,-157.513,0.504,-136.481,0,
41,2,12,12,1,7010.95,7163.15,152.2,772.828,35101.99,770.609,105,,,167.44,0.504,323.275,0,
42,12,3,3,1,7168.154,7388.608,220.454,909.219,36011.21,912.076,125,30,28,-23.636,0.503,-9.811,0,
43,3,4,4,1,7393.614,7619.27,225.656,1115.563,37126.77,1113.53,173,24,23,-113.921,0.504,251.486,0,
44,4,3,,0,7624.278,7649.283,25.005,82.051,37208.82,875.608,104,,,-43.933,0.501,231.777,0,
